name,domain,email,category,location,notes
Sugar Mama's Bakeshop,sugarmamasbakeshop.com,info@sugarmamasbakeshop.com,bakery,Austin TX,Popular South Austin bakery on First St
Bread Furst,breadfurst.com,catering@breadfurst.com,bakery,Washington DC,Neighborhood bakery + cafe DC area
Wild Yeast Bakery,wildyeastbakery.com,wildyeast99@gmail.com,bakery,UK,Sourdough courses + small bakery
Sweetheart Bakery,sweetheartbakery.com,info@sweetheartbakery.com,bakery,Clinton IA,Small town Iowa bakery
Sweet Life Bakery,thesweetlifebakery.com,analeemysweetlifebakery@gmail.com,bakery,Texas,Small Texas bakery restaurant
Yoga Pod Boulder,yogapod.com,info.boulder@yogapod.com,fitness studio,Boulder CO,Boulder/Longmont yoga studio group
The Hive Fitness,thehivefitness.com,sarahfitnesshive@gmail.com,fitness studio,Online/UK,Personal trainer + online coaching
Box + Flow,boxandflow.com,info@boxandflow.com,fitness studio,New York NY,NYC boxing + yoga studio (Squarespace site)
Sweat Cycle Studio,sweatcyclestudio.com,sweatcyclephilly@gmail.com,fitness studio,Philadelphia PA,Philly spin/cycle studio
Spirit + Soul Studio,spiritandsoulstudio.com,support@spiritandsoulstudio.com,wellness studio,Unknown,Modern metaphysical healing space
